county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Van Zandt,4-B,U.S. House,5,,Overvotes,4,,,
Van Zandt,4-B,U.S. House,5,,Undervotes,18,,,
Van Zandt,4-C,U.S. House,5,REP,Lance Gooden,1082,,,
Van Zandt,4-C,U.S. House,5,DEM,"Ruth ""Truth"" Torres",158,,,
Van Zandt,4-C,U.S. House,5,,Overvotes,1,,,
Van Zandt,4-C,U.S. House,5,,Undervotes,17,,,
Van Zandt,4 - C ISD,U.S. House,5,REP,Lance Gooden,81,,,
Van Zandt,4 - C ISD,U.S. House,5,DEM,"Ruth ""Truth"" Torres",12,,,
Van Zandt,4 - C ISD,U.S. House,5,,Overvotes,0,,,
Van Zandt,4 - C ISD,U.S. House,5,,Undervotes,0,,,
Van Zandt,4-D,U.S. House,5,REP,Lance Gooden,2191,,,
Van Zandt,4-D,U.S. House,5,DEM,"Ruth ""Truth"" Torres",396,,,
Van Zandt,4-D,U.S. House,5,,Overvotes,10,,,
Van Zandt,4-D,U.S. House,5,,Undervotes,34,,,
Van Zandt,4 - D ISD,U.S. House,5,REP,Lance Gooden,23,,,
Van Zandt,4 - D ISD,U.S. House,5,DEM,"Ruth ""Truth"" Torres",4,,,
Van Zandt,4 - D ISD,U.S. House,5,,Overvotes,0,,,
Van Zandt,4 - D ISD,U.S. House,5,,Undervotes,1,,,
Van Zandt,4-E,U.S. House,5,REP,Lance Gooden,132,,,
Van Zandt,4-E,U.S. House,5,DEM,"Ruth ""Truth"" Torres",6,,,
Van Zandt,4-E,U.S. House,5,,Overvotes,1,,,
Van Zandt,4-E,U.S. House,5,,Undervotes,1,,,
Van Zandt,4 - E ISD,U.S. House,5,REP,Lance Gooden,744,,,
Van Zandt,4 - E ISD,U.S. House,5,DEM,"Ruth ""Truth"" Torres",73,,,
Van Zandt,4 - E ISD,U.S. House,5,,Overvotes,0,,,
Van Zandt,4 - E ISD,U.S. House,5,,Undervotes,9,,,
Van Zandt,1-A,Railroad Commissioner,,REP,Christi Craddick,1426,,,
Van Zandt,1-A,Railroad Commissioner,,DEM,Katherine Culbert,160,,,
Van Zandt,1-A,Railroad Commissioner,,LIB,Hawk Dunlap,54,,,
Van Zandt,1-A,Railroad Commissioner,,GRN,Eddie Espinoza,11,,,
Van Zandt,1-A,Railroad Commissioner,,,Overvotes,3,,,
Van Zandt,1-A,Railroad Commissioner,,,Undervotes,37,,,
Van Zandt,1-B,Railroad Commissioner,,REP,Christi Craddick,1826,,,
Van Zandt,1-B,Railroad Commissioner,,DEM,Katherine Culbert,241,,,
Van Zandt,1-B,Railroad Commissioner,,LIB,Hawk Dunlap,59,,,
Van Zandt,1-B,Railroad Commissioner,,GRN,Eddie Espinoza,15,,,
Van Zandt,1-B,Railroad Commissioner,,,Overvotes,4,,,
Van Zandt,1-B,Railroad Commissioner,,,Undervotes,38,,,
Van Zandt,1-C,Railroad Commissioner,,REP,Christi Craddick,1075,,,
Van Zandt,1-C,Railroad Commissioner,,DEM,Katherine Culbert,110,,,
Van Zandt,1-C,Railroad Commissioner,,LIB,Hawk Dunlap,30,,,
Van Zandt,1-C,Railroad Commissioner,,GRN,Eddie Espinoza,7,,,
Van Zandt,1-C,Railroad Commissioner,,,Overvotes,3,,,
Van Zandt,1-C,Railroad Commissioner,,,Undervotes,13,,,
Van Zandt,1-D,Railroad Commissioner,,REP,Christi Craddick,847,,,
Van Zandt,1-D,Railroad Commissioner,,DEM,Katherine Culbert,104,,,
Van Zandt,1-D,Railroad Commissioner,,LIB,Hawk Dunlap,17,,,
Van Zandt,1-D,Railroad Commissioner,,GRN,Eddie Espinoza,5,,,
Van Zandt,1-D,Railroad Commissioner,,,Overvotes,3,,,
Van Zandt,1-D,Railroad Commissioner,,,Undervotes,23,,,
