id,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
2124,Precinct 20,Railroad Commissioner,,,Write-ins,0,0,0,0
2125,Precinct 20,Railroad Commissioner,,,Over Votes,0,0,0,0
2126,Precinct 20,Railroad Commissioner,,,Under Votes,64,0,41,23
2128,Precinct 20,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,291,8,209,74
2129,Precinct 20,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,783,70,519,194
2130,Precinct 20,"Justice, Supreme Court, Pl 2",,,Over Votes,0,0,0,0
2131,Precinct 20,"Justice, Supreme Court, Pl 2",,,Under Votes,72,2,44,26
2133,Precinct 20,"Justice, Supreme Court, Pl 4",,REP,John Devine,284,9,202,73
2134,Precinct 20,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,787,71,526,190
2135,Precinct 20,"Justice, Supreme Court, Pl 4",,,Over Votes,0,0,0,0
2136,Precinct 20,"Justice, Supreme Court, Pl 4",,,Under Votes,75,0,44,31
2138,Precinct 20,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,269,8,198,63
2139,Precinct 20,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,772,68,513,191
2140,Precinct 20,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,38,3,21,14
2141,Precinct 20,"Justice, Supreme Court, Pl 6",,,Over Votes,0,0,0,0
2142,Precinct 20,"Justice, Supreme Court, Pl 6",,,Under Votes,67,1,40,26
2145,Precinct 20,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,281,8,205,68
2146,Precinct 20,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,794,72,527,195
2147,Precinct 20,"Presiding Judge, Ct of Crim App",,,Over Votes,0,0,0,0
2148,Precinct 20,"Presiding Judge, Ct of Crim App",,,Under Votes,71,0,40,31
2150,Precinct 20,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,292,8,213,71
2151,Precinct 20,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,778,71,514,193
2152,Precinct 20,"Judge, Ct of Crim App, Pl 7",,,Over Votes,0,0,0,0
2153,Precinct 20,"Judge, Ct of Crim App, Pl 7",,,Under Votes,76,1,45,30
2155,Precinct 20,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,305,10,222,73
2156,Precinct 20,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,763,69,504,190
2157,Precinct 20,"Judge, Ct of Crim App, Pl 8",,,Over Votes,0,0,0,0
2158,Precinct 20,"Judge, Ct of Crim App, Pl 8",,,Under Votes,78,1,46,31
2160,Precinct 20,State Representative,9,REP,Trent Ashby,516,23,358,135
2161,Precinct 20,State Representative,9,,Over Votes,0,0,0,0
2162,Precinct 20,State Representative,9,,Under Votes,630,57,414,159
2165,Precinct 20,"Justice, 12th Ct of App Dist, Pl 3",,REP,Greg Neeley,491,19,342,130
2166,Precinct 20,"Justice, 12th Ct of App Dist, Pl 3",,,Over Votes,0,0,0,0
2167,Precinct 20,"Justice, 12th Ct of App Dist, Pl 3",,,Under Votes,655,61,430,164
2169,Precinct 20,"Dist Attorney, 159th Judicial Dist",,REP,Layne Allen Thompson,490,18,340,132
2170,Precinct 20,"Dist Attorney, 159th Judicial Dist",,,Over Votes,0,0,0,0
2171,Precinct 20,"Dist Attorney, 159th Judicial Dist",,,Under Votes,656,62,432,162
2173,Precinct 20,County Attorney,,REP,James M. Yakovsky,500,20,347,133
2174,Precinct 20,County Attorney,,,Over Votes,0,0,0,0
2175,Precinct 20,County Attorney,,,Under Votes,646,60,425,161
2177,Precinct 20,District Clerk - Unexpired Term,,REP,Meagan Moore,501,20,347,134
2178,Precinct 20,District Clerk - Unexpired Term,,,Over Votes,0,0,0,0
2179,Precinct 20,District Clerk - Unexpired Term,,,Under Votes,645,60,425,160
2181,Precinct 20,Sheriff,,REP,Tom Selman,541,28,377,136
2182,Precinct 20,Sheriff,,,Over Votes,0,0,0,0
2183,Precinct 20,Sheriff,,,Under Votes,605,52,395,158
2186,Precinct 20,County Tax Assessor-Collector,,REP,Billie Page,548,33,378,137
2187,Precinct 20,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
2188,Precinct 20,County Tax Assessor-Collector,,,Under Votes,598,47,394,157
2190,Precinct 20,Constable Pct 1,,REP,Ray Berry,542,20,380,142
2191,Precinct 20,Constable Pct 1,,,Over Votes,0,0,0,0
2192,Precinct 20,Constable Pct 1,,,Under Votes,604,60,392,152
2194,Precinct 21,Registered Voters,,,,1098,,,
2195,Precinct 21,Ballots Cast,,,,711,19,525,167
2197,Precinct 21,President,,REP,Donald J. Trump/JD Vance,519,16,390,113
2198,Precinct 21,President,,DEM,Kamala D. Harris/Tim Walz,180,3,127,50
2199,Precinct 21,President,,LIB,Chase Oliver/Mike ter Maat,5,0,4,1
2200,Precinct 21,President,,GRN,Jill Stein/Rudolph Ware,4,0,3,1
2201,Precinct 21,President,,,Write-ins,0,0,0,0
2202,Precinct 21,President,,,Over Votes,0,0,0,0
2203,Precinct 21,President,,,Under Votes,3,0,1,2
2205,Precinct 21,U.S. Senate,,REP,Ted Cruz,491,16,373,102
2206,Precinct 21,U.S. Senate,,DEM,Colin Allred,193,3,135,55
2207,Precinct 21,U.S. Senate,,LIB,Ted Brown,19,0,11,8
2208,Precinct 21,U.S. Senate,,,Write-ins,0,0,0,0
2209,Precinct 21,U.S. Senate,,,Over Votes,0,0,0,0
2210,Precinct 21,U.S. Senate,,,Under Votes,8,0,6,2
2212,Precinct 21,U.S. House,17,REP,Pete Sessions,525,16,392,117
2213,Precinct 21,U.S. House,17,DEM,Mark Lorenzen,169,3,120,46
2214,Precinct 21,U.S. House,17,,Over Votes,0,0,0,0
2215,Precinct 21,U.S. House,17,,Under Votes,17,0,13,4
2218,Precinct 21,Railroad Commissioner,,REP,Christi Craddick,502,14,384,104
2219,Precinct 21,Railroad Commissioner,,DEM,Katherine Culbert,161,3,113,45
2220,Precinct 21,Railroad Commissioner,,LIB,Hawk Dunlap,13,0,7,6
2221,Precinct 21,Railroad Commissioner,,GRN,Eddie Espinoza,12,0,8,4
2222,Precinct 21,Railroad Commissioner,,,Write-ins,0,0,0,0
2223,Precinct 21,Railroad Commissioner,,,Over Votes,0,0,0,0
2224,Precinct 21,Railroad Commissioner,,,Under Votes,23,2,13,8
2226,Precinct 21,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,515,14,394,107
2227,Precinct 21,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,171,3,116,52
2228,Precinct 21,"Justice, Supreme Court, Pl 2",,,Over Votes,0,0,0,0
2229,Precinct 21,"Justice, Supreme Court, Pl 2",,,Under Votes,25,2,15,8
2231,Precinct 21,"Justice, Supreme Court, Pl 4",,REP,John Devine,508,14,389,105
2232,Precinct 21,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,172,3,117,52
2233,Precinct 21,"Justice, Supreme Court, Pl 4",,,Over Votes,0,0,0,0
2234,Precinct 21,"Justice, Supreme Court, Pl 4",,,Under Votes,31,2,19,10
2236,Precinct 21,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,504,14,384,106
2237,Precinct 21,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,159,3,105,51
2238,Precinct 21,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,17,0,14,3
2239,Precinct 21,"Justice, Supreme Court, Pl 6",,,Over Votes,0,0,0,0
2240,Precinct 21,"Justice, Supreme Court, Pl 6",,,Under Votes,31,2,22,7
2243,Precinct 21,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,503,13,386,104
2244,Precinct 21,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,175,4,117,54
2245,Precinct 21,"Presiding Judge, Ct of Crim App",,,Over Votes,0,0,0,0
2246,Precinct 21,"Presiding Judge, Ct of Crim App",,,Under Votes,33,2,22,9
2248,Precinct 21,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,514,14,393,107
2249,Precinct 21,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,163,3,110,50
2250,Precinct 21,"Judge, Ct of Crim App, Pl 7",,,Over Votes,0,0,0,0
2251,Precinct 21,"Judge, Ct of Crim App, Pl 7",,,Under Votes,34,2,22,10
2253,Precinct 21,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,515,14,393,108
2254,Precinct 21,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,163,3,112,48
2255,Precinct 21,"Judge, Ct of Crim App, Pl 8",,,Over Votes,0,0,0,0
2256,Precinct 21,"Judge, Ct of Crim App, Pl 8",,,Under Votes,33,2,20,11
2258,Precinct 21,State Representative,9,REP,Trent Ashby,582,16,432,134
2259,Precinct 21,State Representative,9,,Over Votes,0,0,0,0
2260,Precinct 21,State Representative,9,,Under Votes,129,3,93,33
2263,Precinct 21,"Justice, 12th Ct of App Dist, Pl 3",,REP,Greg Neeley,558,16,410,132
2264,Precinct 21,"Justice, 12th Ct of App Dist, Pl 3",,,Over Votes,0,0,0,0
2265,Precinct 21,"Justice, 12th Ct of App Dist, Pl 3",,,Under Votes,153,3,115,35
2267,Precinct 21,"Dist Attorney, 159th Judicial Dist",,REP,Layne Allen Thompson,553,16,409,128
2268,Precinct 21,"Dist Attorney, 159th Judicial Dist",,,Over Votes,0,0,0,0
2269,Precinct 21,"Dist Attorney, 159th Judicial Dist",,,Under Votes,158,3,116,39
2271,Precinct 21,County Attorney,,REP,James M. Yakovsky,566,15,419,132
2272,Precinct 21,County Attorney,,,Over Votes,0,0,0,0
2273,Precinct 21,County Attorney,,,Under Votes,145,4,106,35
2275,Precinct 21,District Clerk - Unexpired Term,,REP,Meagan Moore,562,15,415,132
2276,Precinct 21,District Clerk - Unexpired Term,,,Over Votes,0,0,0,0
2277,Precinct 21,District Clerk - Unexpired Term,,,Under Votes,149,4,110,35
2279,Precinct 21,Sheriff,,REP,Tom Selman,577,15,430,132
2280,Precinct 21,Sheriff,,,Over Votes,0,0,0,0
2281,Precinct 21,Sheriff,,,Under Votes,134,4,95,35
2284,Precinct 21,County Tax Assessor-Collector,,REP,Billie Page,572,16,424,132
2285,Precinct 21,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
2286,Precinct 21,County Tax Assessor-Collector,,,Under Votes,139,3,101,35
2288,Precinct 21,Constable Pct 2,,REP,Trae Trevathan,590,15,437,138
2289,Precinct 21,Constable Pct 2,,,Over Votes,0,0,0,0
2290,Precinct 21,Constable Pct 2,,,Under Votes,121,4,88,29
2292,Precinct 22,Registered Voters,,,,1214,,,
2293,Precinct 22,Ballots Cast,,,,887,15,607,265
2295,Precinct 22,President,,REP,Donald J. Trump/JD Vance,803,11,561,231
2296,Precinct 22,President,,DEM,Kamala D. Harris/Tim Walz,80,4,44,32
2297,Precinct 22,President,,LIB,Chase Oliver/Mike ter Maat,1,0,0,1
2298,Precinct 22,President,,GRN,Jill Stein/Rudolph Ware,1,0,1,0
2299,Precinct 22,President,,,Write-ins,1,0,1,0
2300,Precinct 22,President,,,Over Votes,0,0,0,0
2301,Precinct 22,President,,,Under Votes,1,0,0,1
2303,Precinct 22,U.S. Senate,,REP,Ted Cruz,775,11,546,218
2304,Precinct 22,U.S. Senate,,DEM,Colin Allred,84,4,48,32
2305,Precinct 22,U.S. Senate,,LIB,Ted Brown,16,0,5,11
2306,Precinct 22,U.S. Senate,,,Write-ins,0,0,0,0
2307,Precinct 22,U.S. Senate,,,Over Votes,0,0,0,0
2308,Precinct 22,U.S. Senate,,,Under Votes,12,0,8,4
2310,Precinct 22,U.S. House,17,REP,Pete Sessions,793,11,557,225
2311,Precinct 22,U.S. House,17,DEM,Mark Lorenzen,70,4,35,31
2312,Precinct 22,U.S. House,17,,Over Votes,0,0,0,0
2313,Precinct 22,U.S. House,17,,Under Votes,24,0,15,9
2316,Precinct 22,Railroad Commissioner,,REP,Christi Craddick,755,11,535,209
2317,Precinct 22,Railroad Commissioner,,DEM,Katherine Culbert,65,4,37,24
2318,Precinct 22,Railroad Commissioner,,LIB,Hawk Dunlap,21,0,13,8
2319,Precinct 22,Railroad Commissioner,,GRN,Eddie Espinoza,9,0,4,5
2320,Precinct 22,Railroad Commissioner,,,Write-ins,0,0,0,0
2321,Precinct 22,Railroad Commissioner,,,Over Votes,0,0,0,0
2322,Precinct 22,Railroad Commissioner,,,Under Votes,37,0,18,19
2324,Precinct 22,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,783,11,554,218
2325,Precinct 22,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,72,4,37,31
2326,Precinct 22,"Justice, Supreme Court, Pl 2",,,Over Votes,0,0,0,0
2327,Precinct 22,"Justice, Supreme Court, Pl 2",,,Under Votes,32,0,16,16
2329,Precinct 22,"Justice, Supreme Court, Pl 4",,REP,John Devine,771,11,543,217
2330,Precinct 22,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,76,4,43,29
2331,Precinct 22,"Justice, Supreme Court, Pl 4",,,Over Votes,0,0,0,0
2332,Precinct 22,"Justice, Supreme Court, Pl 4",,,Under Votes,40,0,21,19
2334,Precinct 22,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,762,11,540,211
2335,Precinct 22,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,73,4,42,27
2336,Precinct 22,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,19,0,10,9
2337,Precinct 22,"Justice, Supreme Court, Pl 6",,,Over Votes,0,0,0,0
2338,Precinct 22,"Justice, Supreme Court, Pl 6",,,Under Votes,33,0,15,18
2341,Precinct 22,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,769,11,547,211
2342,Precinct 22,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,83,4,45,34
2343,Precinct 22,"Presiding Judge, Ct of Crim App",,,Over Votes,0,0,0,0
2344,Precinct 22,"Presiding Judge, Ct of Crim App",,,Under Votes,35,0,15,20
2346,Precinct 22,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,775,11,550,214
2347,Precinct 22,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,75,4,40,31
2348,Precinct 22,"Judge, Ct of Crim App, Pl 7",,,Over Votes,0,0,0,0
2349,Precinct 22,"Judge, Ct of Crim App, Pl 7",,,Under Votes,37,0,17,20
2351,Precinct 22,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,779,11,552,216
2352,Precinct 22,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,70,4,38,28
2353,Precinct 22,"Judge, Ct of Crim App, Pl 8",,,Over Votes,0,0,0,0
2354,Precinct 22,"Judge, Ct of Crim App, Pl 8",,,Under Votes,38,0,17,21
2356,Precinct 22,State Representative,9,REP,Trent Ashby,812,12,566,234
2357,Precinct 22,State Representative,9,,Over Votes,0,0,0,0
2358,Precinct 22,State Representative,9,,Under Votes,75,3,41,31
2361,Precinct 22,"Justice, 12th Ct of App Dist, Pl 3",,REP,Greg Neeley,798,12,557,229
2362,Precinct 22,"Justice, 12th Ct of App Dist, Pl 3",,,Over Votes,0,0,0,0
2363,Precinct 22,"Justice, 12th Ct of App Dist, Pl 3",,,Under Votes,89,3,50,36
2365,Precinct 22,"Dist Attorney, 159th Judicial Dist",,REP,Layne Allen Thompson,787,12,552,223
2366,Precinct 22,"Dist Attorney, 159th Judicial Dist",,,Over Votes,0,0,0,0
2367,Precinct 22,"Dist Attorney, 159th Judicial Dist",,,Under Votes,100,3,55,42
2369,Precinct 22,County Attorney,,REP,James M. Yakovsky,798,12,559,227
2370,Precinct 22,County Attorney,,,Over Votes,0,0,0,0
2371,Precinct 22,County Attorney,,,Under Votes,89,3,48,38
2373,Precinct 22,District Clerk - Unexpired Term,,REP,Meagan Moore,795,12,554,229
2374,Precinct 22,District Clerk - Unexpired Term,,,Over Votes,0,0,0,0
2375,Precinct 22,District Clerk - Unexpired Term,,,Under Votes,92,3,53,36
2377,Precinct 22,Sheriff,,REP,Tom Selman,809,12,566,231
2378,Precinct 22,Sheriff,,,Over Votes,0,0,0,0
2379,Precinct 22,Sheriff,,,Under Votes,78,3,41,34
2382,Precinct 22,County Tax Assessor-Collector,,REP,Billie Page,797,12,554,231
2383,Precinct 22,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
2384,Precinct 22,County Tax Assessor-Collector,,,Under Votes,90,3,53,34
2386,Precinct 22,County Commissioner Pct 1,,REP,Rocky Thigpen,793,12,557,224
2387,Precinct 22,County Commissioner Pct 1,,,Over Votes,0,0,0,0
2388,Precinct 22,County Commissioner Pct 1,,,Under Votes,94,3,50,41
2390,Precinct 22,Constable Pct 2,,REP,Trae Trevathan,773,11,540,222
2391,Precinct 22,Constable Pct 2,,,Over Votes,0,0,0,0
2392,Precinct 22,Constable Pct 2,,,Under Votes,114,4,67,43
2394,Precinct 23,Registered Voters,,,,784,,,
2395,Precinct 23,Ballots Cast,,,,498,10,389,99
2397,Precinct 23,President,,REP,Donald J. Trump/JD Vance,414,7,325,82
2398,Precinct 23,President,,DEM,Kamala D. Harris/Tim Walz,81,3,61,17
2399,Precinct 23,President,,LIB,Chase Oliver/Mike ter Maat,0,0,0,0
2400,Precinct 23,President,,GRN,Jill Stein/Rudolph Ware,0,0,0,0
2401,Precinct 23,President,,,Write-ins,2,0,2,0
2402,Precinct 23,President,,,Over Votes,0,0,0,0
2403,Precinct 23,President,,,Under Votes,1,0,1,0
2405,Precinct 23,U.S. Senate,,REP,Ted Cruz,398,7,315,76
2406,Precinct 23,U.S. Senate,,DEM,Colin Allred,82,3,63,16
2407,Precinct 23,U.S. Senate,,LIB,Ted Brown,13,0,8,5
2408,Precinct 23,U.S. Senate,,,Write-ins,0,0,0,0
2409,Precinct 23,U.S. Senate,,,Over Votes,0,0,0,0
2410,Precinct 23,U.S. Senate,,,Under Votes,5,0,3,2
2412,Precinct 23,U.S. House,17,REP,Pete Sessions,418,7,329,82
2413,Precinct 23,U.S. House,17,DEM,Mark Lorenzen,66,3,51,12
2414,Precinct 23,U.S. House,17,,Over Votes,0,0,0,0
2415,Precinct 23,U.S. House,17,,Under Votes,14,0,9,5
2418,Precinct 23,Railroad Commissioner,,REP,Christi Craddick,396,6,315,75
2419,Precinct 23,Railroad Commissioner,,DEM,Katherine Culbert,58,3,44,11
2420,Precinct 23,Railroad Commissioner,,LIB,Hawk Dunlap,19,0,14,5
2421,Precinct 23,Railroad Commissioner,,GRN,Eddie Espinoza,5,0,3,2
2422,Precinct 23,Railroad Commissioner,,,Write-ins,0,0,0,0
2423,Precinct 23,Railroad Commissioner,,,Over Votes,0,0,0,0
2424,Precinct 23,Railroad Commissioner,,,Under Votes,20,1,13,6
2426,Precinct 23,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,410,6,324,80
2427,Precinct 23,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,72,3,57,12
2428,Precinct 23,"Justice, Supreme Court, Pl 2",,,Over Votes,0,0,0,0
2429,Precinct 23,"Justice, Supreme Court, Pl 2",,,Under Votes,16,1,8,7
2431,Precinct 23,"Justice, Supreme Court, Pl 4",,REP,John Devine,403,6,320,77
2432,Precinct 23,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,75,3,58,14
2433,Precinct 23,"Justice, Supreme Court, Pl 4",,,Over Votes,0,0,0,0
2434,Precinct 23,"Justice, Supreme Court, Pl 4",,,Under Votes,20,1,11,8
2436,Precinct 23,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,398,6,317,75
2437,Precinct 23,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,65,3,50,12
2438,Precinct 23,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,17,0,11,6
2439,Precinct 23,"Justice, Supreme Court, Pl 6",,,Over Votes,0,0,0,0
2440,Precinct 23,"Justice, Supreme Court, Pl 6",,,Under Votes,18,1,11,6
2443,Precinct 23,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,402,6,317,79
2444,Precinct 23,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,75,3,58,14
2445,Precinct 23,"Presiding Judge, Ct of Crim App",,,Over Votes,0,0,0,0
2446,Precinct 23,"Presiding Judge, Ct of Crim App",,,Under Votes,21,1,14,6
2448,Precinct 23,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,411,6,324,81
2449,Precinct 23,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,68,3,53,12
2450,Precinct 23,"Judge, Ct of Crim App, Pl 7",,,Over Votes,0,0,0,0
2451,Precinct 23,"Judge, Ct of Crim App, Pl 7",,,Under Votes,19,1,12,6
2453,Precinct 23,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,411,6,324,81
2454,Precinct 23,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,67,3,52,12
2455,Precinct 23,"Judge, Ct of Crim App, Pl 8",,,Over Votes,0,0,0,0
2456,Precinct 23,"Judge, Ct of Crim App, Pl 8",,,Under Votes,20,1,13,6
2458,Precinct 23,State Representative,9,REP,Trent Ashby,439,5,348,86
2459,Precinct 23,State Representative,9,,Over Votes,0,0,0,0
2460,Precinct 23,State Representative,9,,Under Votes,59,5,41,13
2463,Precinct 23,"Justice, 12th Ct of App Dist, Pl 3",,REP,Greg Neeley,424,5,335,84
2464,Precinct 23,"Justice, 12th Ct of App Dist, Pl 3",,,Over Votes,0,0,0,0
2465,Precinct 23,"Justice, 12th Ct of App Dist, Pl 3",,,Under Votes,74,5,54,15
2467,Precinct 23,"Dist Attorney, 159th Judicial Dist",,REP,Layne Allen Thompson,424,5,334,85
2468,Precinct 23,"Dist Attorney, 159th Judicial Dist",,,Over Votes,0,0,0,0
2469,Precinct 23,"Dist Attorney, 159th Judicial Dist",,,Under Votes,74,5,55,14
2471,Precinct 23,County Attorney,,REP,James M. Yakovsky,435,5,344,86
2472,Precinct 23,County Attorney,,,Over Votes,0,0,0,0
2473,Precinct 23,County Attorney,,,Under Votes,63,5,45,13
2475,Precinct 23,District Clerk - Unexpired Term,,REP,Meagan Moore,436,5,346,85
2476,Precinct 23,District Clerk - Unexpired Term,,,Over Votes,0,0,0,0
2477,Precinct 23,District Clerk - Unexpired Term,,,Under Votes,62,5,43,14
2479,Precinct 23,Sheriff,,REP,Tom Selman,439,6,348,85
2480,Precinct 23,Sheriff,,,Over Votes,0,0,0,0
2481,Precinct 23,Sheriff,,,Under Votes,59,4,41,14
2484,Precinct 23,County Tax Assessor-Collector,,REP,Billie Page,438,5,349,84
2485,Precinct 23,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
2486,Precinct 23,County Tax Assessor-Collector,,,Under Votes,60,5,40,15
2488,Precinct 23,County Commissioner Pct 1,,REP,Rocky Thigpen,433,6,345,82
2489,Precinct 23,County Commissioner Pct 1,,,Over Votes,0,0,0,0
2490,Precinct 23,County Commissioner Pct 1,,,Under Votes,65,4,44,17
2492,Precinct 23,Constable Pct 2,,REP,Trae Trevathan,423,6,335,82
2493,Precinct 23,Constable Pct 2,,,Over Votes,0,0,0,0
2494,Precinct 23,Constable Pct 2,,,Under Votes,75,4,54,17
2496,Precinct 24,Registered Voters,,,,2935,,,
2497,Precinct 24,Ballots Cast,,,,1703,43,1282,378
2499,Precinct 24,President,,REP,Donald J. Trump/JD Vance,1325,22,1041,262
2500,Precinct 24,President,,DEM,Kamala D. Harris/Tim Walz,361,20,228,113
2501,Precinct 24,President,,LIB,Chase Oliver/Mike ter Maat,5,0,4,1
2502,Precinct 24,President,,GRN,Jill Stein/Rudolph Ware,5,0,3,2
2503,Precinct 24,President,,,Write-ins,2,0,2,0
2504,Precinct 24,President,,,Over Votes,1,1,0,0
2505,Precinct 24,President,,,Under Votes,4,0,4,0
2507,Precinct 24,U.S. Senate,,REP,Ted Cruz,1255,21,1009,225
2508,Precinct 24,U.S. Senate,,DEM,Colin Allred,378,19,237,122
2509,Precinct 24,U.S. Senate,,LIB,Ted Brown,46,2,28,16
2510,Precinct 24,U.S. Senate,,,Write-ins,1,0,1,0
2511,Precinct 24,U.S. Senate,,,Over Votes,1,1,0,0
2512,Precinct 24,U.S. Senate,,,Under Votes,22,0,7,15
2514,Precinct 24,U.S. House,17,REP,Pete Sessions,1309,22,1041,246
2515,Precinct 24,U.S. House,17,DEM,Mark Lorenzen,326,20,203,103
2516,Precinct 24,U.S. House,17,,Over Votes,0,0,0,0
2517,Precinct 24,U.S. House,17,,Under Votes,68,1,38,29
2520,Precinct 24,Railroad Commissioner,,REP,Christi Craddick,1230,22,982,226
2521,Precinct 24,Railroad Commissioner,,DEM,Katherine Culbert,303,19,195,89
2522,Precinct 24,Railroad Commissioner,,LIB,Hawk Dunlap,53,0,35,18
2523,Precinct 24,Railroad Commissioner,,GRN,Eddie Espinoza,28,0,18,10
2524,Precinct 24,Railroad Commissioner,,,Write-ins,0,0,0,0
2525,Precinct 24,Railroad Commissioner,,,Over Votes,1,1,0,0
2526,Precinct 24,Railroad Commissioner,,,Under Votes,88,1,52,35
2528,Precinct 24,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,1296,22,1033,241
2529,Precinct 24,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,322,20,201,101
2530,Precinct 24,"Justice, Supreme Court, Pl 2",,,Over Votes,0,0,0,0
2531,Precinct 24,"Justice, Supreme Court, Pl 2",,,Under Votes,85,1,48,36
2533,Precinct 24,"Justice, Supreme Court, Pl 4",,REP,John Devine,1294,22,1030,242
2534,Precinct 24,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,321,20,200,101
2535,Precinct 24,"Justice, Supreme Court, Pl 4",,,Over Votes,0,0,0,0
2536,Precinct 24,"Justice, Supreme Court, Pl 4",,,Under Votes,88,1,52,35
2538,Precinct 24,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,1251,22,999,230
2539,Precinct 24,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,320,20,201,99
2540,Precinct 24,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,43,0,27,16
2541,Precinct 24,"Justice, Supreme Court, Pl 6",,,Over Votes,0,0,0,0
2542,Precinct 24,"Justice, Supreme Court, Pl 6",,,Under Votes,89,1,55,33
2545,Precinct 24,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,1276,22,1018,236
2546,Precinct 24,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,337,20,213,104
2547,Precinct 24,"Presiding Judge, Ct of Crim App",,,Over Votes,0,0,0,0
2548,Precinct 24,"Presiding Judge, Ct of Crim App",,,Under Votes,90,1,51,38
2550,Precinct 24,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,1279,22,1018,239
2551,Precinct 24,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,328,19,208,101
2552,Precinct 24,"Judge, Ct of Crim App, Pl 7",,,Over Votes,0,0,0,0
2553,Precinct 24,"Judge, Ct of Crim App, Pl 7",,,Under Votes,96,2,56,38
2555,Precinct 24,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,1291,21,1027,243
2556,Precinct 24,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,308,18,196,94
2557,Precinct 24,"Judge, Ct of Crim App, Pl 8",,,Over Votes,0,0,0,0
2558,Precinct 24,"Judge, Ct of Crim App, Pl 8",,,Under Votes,104,4,59,41
2560,Precinct 24,State Representative,9,REP,Trent Ashby,1441,23,1106,312
2561,Precinct 24,State Representative,9,,Over Votes,0,0,0,0
2562,Precinct 24,State Representative,9,,Under Votes,262,20,176,66
